Complexity,Loss,Equation
1,635.6064,"-0.22260998"
2,2.335916e-12,"inv(x1)"
6,2.3358982e-12,"(x2 * -5.8327507e-9) + inv(x1)"
7,1.3606893e-14,"(inv(x1) * -4.0935312e-8) + inv(x1)"
9,7.609469e-15,"inv(x1) + (2.868932e-10 * inv(x1 * x1))"
13,7.458478e-15,"(inv(x1 * (x3 + (0.53711706 * x1))) * -6.2398695e-9) + inv(x1)"
14,5.3446136e-15,"(inv(x1 * ((x1 * inv(x4)) + x3)) * -6.2398695e-9) + inv(x1)"
15,5.335732e-15,"inv(x1) + (inv((((x3 + 6.958106) * x1) + x3) * x1) * -5.236224e-9)"
16,5.193623e-15,"(inv(x1 * (((x1 + inv(x4)) * x1) + x3)) * -5.236224e-9) + inv(x1)"
18,4.7672975e-15,"(inv(x1 * ((((x3 * x0) + inv(x4)) * x1) + x3)) * -5.236224e-9) + inv(x1)"
22,4.625189e-15,"inv(x1) + (inv(x1 * ((((inv(x4) + (x0 * -1.04434)) * x1) + x3) + (x1 * x1))) * -6.292656e-9)"
27,4.6163075e-15,"(inv(x1 * (x3 + (((inv(x4) + (x3 * x0)) + inv((inv(x1) * x3) + inv(x0))) * x1))) * -6.292656e-9) + inv(x1)"
28,4.1988634e-15,"(inv(x1 * (x3 + (((inv(x4) + (x3 * x0)) + inv(((x3 * x3) * x4) + inv(x0))) * x1))) * -6.292656e-9) + inv(x1)"
